Archivo,Peso (KB),Algoritmo,CPU Encrypt (%),CPU Decrypt (%)
audio_001.mp3,25.85,AES,18.1,22.2
audio_001.mp3,25.85,3DES,3.8,4.1
audio_001.mp3,25.85,ChaCha20,8.1,12.8
audio_001.mp3,25.85,Camellia,12.5,29.5
audio_002.mp3,74.83,AES,10.5,4.7
audio_002.mp3,74.83,3DES,17.9,21.2
audio_002.mp3,74.83,ChaCha20,11.7,2.7
audio_002.mp3,74.83,Camellia,0,3.6
audio_003.mp3,123.19,AES,2.8,28.0
audio_003.mp3,123.19,3DES,4.8,3.7
audio_003.mp3,123.19,ChaCha20,5.3,10.0
audio_003.mp3,123.19,Camellia,8.3,5.0
audio_004.mp3,172.17,AES,14.9,2.9
audio_004.mp3,172.17,3DES,18.2,2.6
audio_004.mp3,172.17,ChaCha20,1.2,2.4
audio_004.mp3,172.17,Camellia,6.7,14.1
audio_005.mp3,220.54,AES,2.3,23.6
audio_005.mp3,220.54,3DES,17.1,15.2
audio_005.mp3,220.54,ChaCha20,4.5,2.7
audio_005.mp3,220.54,Camellia,15.6,5.3
audio_006.mp3,269.52,AES,20.0,10.0
audio_006.mp3,269.52,3DES,20.0,11.9
audio_006.mp3,269.52,ChaCha20,31.0,24.1
audio_006.mp3,269.52,Camellia,12.9,17.5
audio_007.mp3,318.50,AES,17.3,12.2
audio_007.mp3,318.50,3DES,6.0,13.2
audio_007.mp3,318.50,ChaCha20,13.0,3.8
audio_007.mp3,318.50,Camellia,16.4,6.1
audio_008.mp3,366.87,AES,5.5,1.4
audio_008.mp3,366.87,3DES,8.0,22.2
audio_008.mp3,366.87,ChaCha20,1.3,11.5
audio_008.mp3,366.87,Camellia,14.9,6.9
audio_009.mp3,415.85,AES,6.5,1.2
audio_009.mp3,415.85,3DES,8.1,13.2
audio_009.mp3,415.85,ChaCha20,6.3,13.4
audio_009.mp3,415.85,Camellia,33.3,4.9
audio_010.mp3,464.21,AES,2.4,27.7
audio_010.mp3,464.21,3DES,9.1,19.5
audio_010.mp3,464.21,ChaCha20,10.5,3.9
audio_010.mp3,464.21,Camellia,16.4,18.7
audio_011.mp3,513.19,AES,44.6,9.6
audio_011.mp3,513.19,3DES,34.0,32.2
audio_011.mp3,513.19,ChaCha20,10.8,20.8
audio_011.mp3,513.19,Camellia,9.3,13.7
audio_012.mp3,561.56,AES,49.3,24.3
audio_012.mp3,561.56,3DES,49.0,15.6
audio_012.mp3,561.56,ChaCha20,44.7,15.7
audio_012.mp3,561.56,Camellia,6.3,16.7
audio_013.mp3,610.54,AES,13.3,37.0
audio_013.mp3,610.54,3DES,30.7,13.5
audio_013.mp3,610.54,ChaCha20,2.8,6.9
audio_013.mp3,610.54,Camellia,20.8,7.1
audio_014.mp3,659.52,AES,3.9,5.4
audio_014.mp3,659.52,3DES,18.3,18.5
audio_014.mp3,659.52,ChaCha20,20.5,13.9
audio_014.mp3,659.52,Camellia,2.6,17.6
audio_015.mp3,707.89,AES,23.3,5.0
audio_015.mp3,707.89,3DES,28.1,25.8
audio_015.mp3,707.89,ChaCha20,1.3,1.4
audio_015.mp3,707.89,Camellia,17.8,5.1
audio_016.mp3,756.87,AES,8.3,20.8
audio_016.mp3,756.87,3DES,9.8,13.5
audio_016.mp3,756.87,ChaCha20,1.3,25.0
audio_016.mp3,756.87,Camellia,15.6,19.5
audio_017.mp3,805.23,AES,4.9,2.6
audio_017.mp3,805.23,3DES,18.5,49.3
audio_017.mp3,805.23,ChaCha20,10.4,13.9
audio_017.mp3,805.23,Camellia,44.4,19.5
audio_018.mp3,854.21,AES,26.0,15.3
audio_018.mp3,854.21,3DES,20.1,10.4
audio_018.mp3,854.21,ChaCha20,27.8,22.0
audio_018.mp3,854.21,Camellia,6.0,11.1
audio_019.mp3,902.58,AES,13.2,13.3
audio_019.mp3,902.58,3DES,16.2,26.2
audio_019.mp3,902.58,ChaCha20,6.7,22.2
audio_019.mp3,902.58,Camellia,27.5,17.9
audio_020.mp3,951.56,AES,6.0,2.5
audio_020.mp3,951.56,3DES,20.0,24.1
audio_020.mp3,951.56,ChaCha20,2.6,5.3
audio_020.mp3,951.56,Camellia,1.3,7.6
audio_021.mp3,999.93,AES,13.3,12.3
audio_021.mp3,999.93,3DES,28.2,22.5
audio_021.mp3,999.93,ChaCha20,16.9,13.7
audio_021.mp3,999.93,Camellia,17.8,5.2
audio_022.mp3,1048.91,AES,12.9,12.5
audio_022.mp3,1048.91,3DES,12.0,14.4
audio_022.mp3,1048.91,ChaCha20,5.8,1.2
audio_022.mp3,1048.91,Camellia,11.5,11.2
audio_023.mp3,1097.89,AES,46.1,9.7
audio_023.mp3,1097.89,3DES,15.4,12.6
audio_023.mp3,1097.89,ChaCha20,2.6,6.4
audio_023.mp3,1097.89,Camellia,6.9,8.9
audio_024.mp3,1146.25,AES,13.8,22.9
audio_024.mp3,1146.25,3DES,9.1,8.8
audio_024.mp3,1146.25,ChaCha20,33.3,0
audio_024.mp3,1146.25,Camellia,8.0,18.8
audio_025.mp3,1195.23,AES,9.1,16.2
audio_025.mp3,1195.23,3DES,10.2,13.2
audio_025.mp3,1195.23,ChaCha20,5.6,9.2
audio_025.mp3,1195.23,Camellia,6.0,8.1
audio_026.mp3,1243.60,AES,6.9,23.5
audio_026.mp3,1243.60,3DES,13.0,30.2
audio_026.mp3,1243.60,ChaCha20,27.5,3.9
audio_026.mp3,1243.60,Camellia,5.1,2.7
audio_027.mp3,1292.58,AES,12.3,8.2
audio_027.mp3,1292.58,3DES,18.2,14.9
audio_027.mp3,1292.58,ChaCha20,5.5,6.7
audio_027.mp3,1292.58,Camellia,17.6,2.6
audio_028.mp3,1340.95,AES,17.7,10.8
audio_028.mp3,1340.95,3DES,27.0,30.7
audio_028.mp3,1340.95,ChaCha20,16.2,14.5
