Archivo,Peso (KB),Algoritmo,Energia Encrypt (J),Energia Encrypt (J/byte),Energia Decrypt (J),Energia Decrypt (J/byte)
audio_001.mp3,25.85,AES,0.0114,0.00000043,0.0001,0.00000000
audio_001.mp3,25.85,3DES,0.2106,0.00000796,0.0057,0.00000021
audio_001.mp3,25.85,ChaCha20,0.0001,0.00000000,0.0010,0.00000004
audio_001.mp3,25.85,Camellia,0.0007,0.00000003,0.0000,0.00000000
audio_002.mp3,74.83,AES,0.0002,0.00000000,0.0002,0.00000000
audio_002.mp3,74.83,3DES,0.0479,0.00000063,0.0432,0.00000056
audio_002.mp3,74.83,ChaCha20,0.0004,0.00000001,0.0000,0.00000000
audio_002.mp3,74.83,Camellia,0.0002,0.00000000,0.0018,0.00000002
audio_003.mp3,123.19,AES,0.0014,0.00000001,0.0001,0.00000000
audio_003.mp3,123.19,3DES,0.0364,0.00000029,0.0099,0.00000008
audio_003.mp3,123.19,ChaCha20,0.0001,0.00000000,0.0012,0.00000001
audio_003.mp3,123.19,Camellia,0.0037,0.00000003,0.0006,0.00000000
audio_004.mp3,172.17,AES,0.0002,0.00000000,0.0000,0.00000000
audio_004.mp3,172.17,3DES,0.0471,0.00000027,0.1884,0.00000107
audio_004.mp3,172.17,ChaCha20,0.0009,0.00000001,0.0004,0.00000000
audio_004.mp3,172.17,Camellia,0.0015,0.00000001,0.0008,0.00000000
audio_005.mp3,220.54,AES,0.0009,0.00000000,0.0005,0.00000000
audio_005.mp3,220.54,3DES,0.0878,0.00000039,0.1240,0.00000055
audio_005.mp3,220.54,ChaCha20,0.0004,0.00000000,0.0007,0.00000000
audio_005.mp3,220.54,Camellia,0.0015,0.00000001,0.0011,0.00000000
audio_006.mp3,269.52,AES,0.0002,0.00000000,0.0004,0.00000000
audio_006.mp3,269.52,3DES,0.8875,0.00000322,0.3750,0.00000136
audio_006.mp3,269.52,ChaCha20,0.0009,0.00000000,0.0006,0.00000000
audio_006.mp3,269.52,Camellia,0.0023,0.00000001,0.0090,0.00000003
audio_007.mp3,318.50,AES,0.0008,0.00000000,0.0019,0.00000001
audio_007.mp3,318.50,3DES,0.1203,0.00000037,0.1146,0.00000035
audio_007.mp3,318.50,ChaCha20,0.0034,0.00000001,0.0008,0.00000000
audio_007.mp3,318.50,Camellia,0.0030,0.00000001,0.0006,0.00000000
audio_008.mp3,366.87,AES,0.0010,0.00000000,0.0016,0.00000000
audio_008.mp3,366.87,3DES,0.1831,0.00000049,0.1564,0.00000042
audio_008.mp3,366.87,ChaCha20,0.0003,0.00000000,0.0023,0.00000001
audio_008.mp3,366.87,Camellia,0.0138,0.00000004,0.0023,0.00000001
audio_009.mp3,415.85,AES,0.0020,0.00000000,0.0007,0.00000000
audio_009.mp3,415.85,3DES,0.1545,0.00000036,0.7614,0.00000179
audio_009.mp3,415.85,ChaCha20,0.0002,0.00000000,0.0007,0.00000000
audio_009.mp3,415.85,Camellia,0.0048,0.00000001,0.0057,0.00000001
audio_010.mp3,464.21,AES,0.0058,0.00000001,0.0001,0.00000000
audio_010.mp3,464.21,3DES,0.3236,0.00000068,0.1281,0.00000027
audio_010.mp3,464.21,ChaCha20,0.0015,0.00000000,0.0006,0.00000000
audio_010.mp3,464.21,Camellia,0.0039,0.00000001,0.0013,0.00000000
audio_011.mp3,513.19,AES,0.0017,0.00000000,0.0015,0.00000000
audio_011.mp3,513.19,3DES,0.4126,0.00000079,0.1794,0.00000034
audio_011.mp3,513.19,ChaCha20,0.0001,0.00000000,0.0023,0.00000000
audio_011.mp3,513.19,Camellia,0.0153,0.00000003,0.0078,0.00000001
audio_012.mp3,561.56,AES,0.0002,0.00000000,0.0005,0.00000000
audio_012.mp3,561.56,3DES,0.2107,0.00000037,0.3162,0.00000055
audio_012.mp3,561.56,ChaCha20,0.0005,0.00000000,0.0009,0.00000000
audio_012.mp3,561.56,Camellia,0.0046,0.00000001,0.0113,0.00000002
audio_013.mp3,610.54,AES,0.0000,0.00000000,0.0021,0.00000000
audio_013.mp3,610.54,3DES,0.2226,0.00000036,0.2886,0.00000046
audio_013.mp3,610.54,ChaCha20,0.0008,0.00000000,0.0021,0.00000000
audio_013.mp3,610.54,Camellia,0.0013,0.00000000,0.0059,0.00000001
audio_014.mp3,659.52,AES,0.0039,0.00000001,0.0021,0.00000000
audio_014.mp3,659.52,3DES,0.2454,0.00000036,0.2175,0.00000032
audio_014.mp3,659.52,ChaCha20,0.0020,0.00000000,0.0016,0.00000000
audio_014.mp3,659.52,Camellia,0.0023,0.00000000,0.0016,0.00000000
audio_015.mp3,707.89,AES,0.0007,0.00000000,0.0023,0.00000000
audio_015.mp3,707.89,3DES,0.2054,0.00000028,0.2093,0.00000029
audio_015.mp3,707.89,ChaCha20,0.0024,0.00000000,0.0013,0.00000000
audio_015.mp3,707.89,Camellia,0.0017,0.00000000,0.0018,0.00000000
