Archivo,Tamaño (KB),Algoritmo,Tiempo Encrypt (s),Velocidad Encrypt (bytes/s),Tiempo Decrypt (s),Velocidad Decrypt (bytes/s)
audio_001.mp3,25.85,AES,0.001148,23050382.88,0.000055,482654973.77
audio_001.mp3,25.85,3DES,0.009081,2914430.14,0.006337,4176786.97
audio_001.mp3,25.85,ChaCha20,0.000114,231272174.93,0.000030,895247128.77
audio_001.mp3,25.85,Camellia,0.000224,118348234.51,0.000160,165687528.31
audio_002.mp3,74.83,AES,0.000130,590764634.35,0.000081,950816452.92
audio_002.mp3,74.83,3DES,0.017588,4356517.79,0.017735,4320382.34
audio_002.mp3,74.83,ChaCha20,0.000162,471917710.85,0.000061,1255374848.00
audio_002.mp3,74.83,Camellia,0.000509,150597919.91,0.000456,168171617.52
audio_003.mp3,123.19,AES,0.000314,402060372.04,0.000056,2251538083.40
audio_003.mp3,123.19,3DES,0.027268,4626272.83,0.026579,4746160.36
audio_003.mp3,123.19,ChaCha20,0.000199,632908432.54,0.000083,1524816857.64
audio_003.mp3,123.19,Camellia,0.000811,155529526.63,0.000798,158132531.26
audio_004.mp3,172.17,AES,0.000280,629341929.12,0.000138,1274959942.62
audio_004.mp3,172.17,3DES,0.036707,4802982.34,0.037026,4761601.85
audio_004.mp3,172.17,ChaCha20,0.000235,749216582.29,0.000127,1387386053.88
audio_004.mp3,172.17,Camellia,0.001086,162272715.98,0.001039,169760506.59
audio_005.mp3,220.54,AES,0.000496,454955067.02,0.000432,523324005.27
audio_005.mp3,220.54,3DES,0.051156,4414630.90,0.047777,4726841.27
audio_005.mp3,220.54,ChaCha20,0.000320,705298919.98,0.000109,2077229056.00
audio_005.mp3,220.54,Camellia,0.001419,159142548.65,0.001380,163595241.72
audio_006.mp3,269.52,AES,0.000538,513112485.22,0.000474,582577637.97
audio_006.mp3,269.52,3DES,0.056976,4843924.77,0.056464,4887899.84
audio_006.mp3,269.52,ChaCha20,0.000298,927549492.51,0.000121,2283198750.80
audio_006.mp3,269.52,Camellia,0.001754,157322882.12,0.001616,170759959.68
audio_007.mp3,318.50,AES,0.001740,187415684.86,0.000897,363622297.65
audio_007.mp3,318.50,3DES,0.069699,4679349.80,0.069438,4696878.53
audio_007.mp3,318.50,ChaCha20,0.000457,713215372.15,0.000353,924913511.68
audio_007.mp3,318.50,Camellia,0.002154,151438844.66,0.001988,164022432.11
audio_008.mp3,366.87,AES,0.001154,325554250.47,0.000947,396697525.75
audio_008.mp3,366.87,3DES,0.077854,4825330.04,0.078212,4803251.30
audio_008.mp3,366.87,ChaCha20,0.000534,704058343.29,0.000461,814727286.60
audio_008.mp3,366.87,Camellia,0.002584,145398410.29,0.002808,133793204.75
audio_009.mp3,415.85,AES,0.001203,353883076.96,0.000835,509862372.08
audio_009.mp3,415.85,3DES,0.091959,4630642.02,0.098340,4330169.98
audio_009.mp3,415.85,ChaCha20,0.000554,768854020.41,0.000449,947505511.62
audio_009.mp3,415.85,Camellia,0.002967,143503767.43,0.003431,124117296.00
audio_010.mp3,464.21,AES,0.001049,453235593.98,0.000757,627567950.24
audio_010.mp3,464.21,3DES,0.105177,4519564.72,0.100127,4747521.51
audio_010.mp3,464.21,ChaCha20,0.000621,765955965.39,0.000450,1056588965.51
audio_010.mp3,464.21,Camellia,0.003356,141624050.14,0.003141,151353782.58
audio_011.mp3,513.19,AES,0.000999,526049807.89,0.000894,588086631.55
audio_011.mp3,513.19,3DES,0.114377,4594541.73,0.108818,4829243.20
audio_011.mp3,513.19,ChaCha20,0.000639,822136775.47,0.000555,946392741.54
audio_011.mp3,513.19,Camellia,0.003972,132301842.44,0.003976,132174903.76
audio_012.mp3,561.56,AES,0.000922,623386969.13,0.000780,736903203.04
audio_012.mp3,561.56,3DES,0.118915,4835722.27,0.117757,4883256.19
audio_012.mp3,561.56,ChaCha20,0.000662,868834360.07,0.000643,894615795.09
audio_012.mp3,561.56,Camellia,0.003761,152892816.71,0.003272,175754877.47
audio_013.mp3,610.54,AES,0.001110,563440845.50,0.001038,602124843.85
audio_013.mp3,610.54,3DES,0.128856,4851883.29,0.131614,4750201.43
audio_013.mp3,610.54,ChaCha20,0.000673,929547570.00,0.000522,1197376116.43
audio_013.mp3,610.54,Camellia,0.003835,163024786.76,0.003559,175660081.39
audio_014.mp3,659.52,AES,0.000994,679611087.36,0.000797,847581990.45
audio_014.mp3,659.52,3DES,0.141293,4779791.25,0.142122,4751911.19
audio_014.mp3,659.52,ChaCha20,0.000793,851147539.69,0.000732,922076501.33
audio_014.mp3,659.52,Camellia,0.004505,149897815.11,0.004130,163536690.27
audio_015.mp3,707.89,AES,0.001533,472912505.93,0.001136,637925828.91
audio_015.mp3,707.89,3DES,0.162878,4450421.64,0.160643,4512351.12
audio_015.mp3,707.89,ChaCha20,0.000847,856196705.32,0.000761,952193705.17
audio_015.mp3,707.89,Camellia,0.005135,141168895.42,0.004677,155001503.98
audio_016.mp3,756.87,AES,0.001689,458946748.23,0.001449,534921806.44
audio_016.mp3,756.87,3DES,0.169735,4566130.77,0.168239,4606728.89
audio_016.mp3,756.87,ChaCha20,0.000838,925340113.22,0.000775,999606340.01
audio_016.mp3,756.87,Camellia,0.005199,149067722.19,0.004883,158726553.60
audio_017.mp3,805.23,AES,0.001425,578724114.16,0.001234,668300542.27
audio_017.mp3,805.23,3DES,0.196106,4204670.86,0.180150,4577085.96
audio_017.mp3,805.23,ChaCha20,0.001312,628238929.38,0.001182,697691205.62
audio_017.mp3,805.23,Camellia,0.005792,142358413.86,0.005825,141565915.11
audio_018.mp3,854.21,AES,0.001725,507093382.63,0.001629,537083973.56
audio_018.mp3,854.21,3DES,0.194042,4507870.57,0.198178,4413778.09
audio_018.mp3,854.21,ChaCha20,0.001150,760534955.09,0.000932,939037784.33
audio_018.mp3,854.21,Camellia,0.006704,130474790.12,0.007174,121932288.32
audio_019.mp3,902.58,AES,0.002105,438971363.59,0.002125,435030424.40
audio_019.mp3,902.58,3DES,0.208976,4422732.63,0.197294,4684586.36
audio_019.mp3,902.58,ChaCha20,0.001026,900477610.19,0.000990,933884873.98
audio_019.mp3,902.58,Camellia,0.005986,154401406.46,0.005577,165721448.01
audio_020.mp3,951.56,AES,0.001840,529531151.72,0.001928,505369287.62
audio_020.mp3,951.56,3DES,0.219286,4443494.05,0.212436,4586784.63
audio_020.mp3,951.56,ChaCha20,0.001103,883658687.35,0.001056,922763926.17
audio_020.mp3,951.56,Camellia,0.006457,150909143.67,0.006485,150243416.99
