Algoritmo,Archivo,Tamaño (KB),CPU Encrypt (%),CPU Decrypt (%)
AES,audio_001.mp3,25.8466796875,0.0,
3DES,audio_001.mp3,25.8466796875,0.0,15.6
ChaCha20,audio_001.mp3,25.8466796875,,
AES,audio_002.mp3,74.826171875,,
3DES,audio_002.mp3,74.826171875,0.0,0.0
ChaCha20,audio_002.mp3,74.826171875,,
AES,audio_003.mp3,123.193359375,,
3DES,audio_003.mp3,123.193359375,0.0,0.0
ChaCha20,audio_003.mp3,123.193359375,,
AES,audio_004.mp3,172.1728515625,,
3DES,audio_004.mp3,172.1728515625,0.0,0.0
ChaCha20,audio_004.mp3,172.1728515625,,
AES,audio_005.mp3,220.541015625,,
3DES,audio_005.mp3,220.541015625,0.0,0.0
ChaCha20,audio_005.mp3,220.541015625,,
AES,audio_006.mp3,269.5205078125,,
3DES,audio_006.mp3,269.5205078125,0.0,0.0
ChaCha20,audio_006.mp3,269.5205078125,,
AES,audio_007.mp3,318.5,,
3DES,audio_007.mp3,318.5,0.0,0.0
ChaCha20,audio_007.mp3,318.5,,
AES,audio_008.mp3,366.8671875,,
3DES,audio_008.mp3,366.8671875,0.0,0.0
ChaCha20,audio_008.mp3,366.8671875,,
AES,audio_009.mp3,415.8466796875,,
3DES,audio_009.mp3,415.8466796875,0.0,0.0
ChaCha20,audio_009.mp3,415.8466796875,,
AES,audio_010.mp3,464.2138671875,,
3DES,audio_010.mp3,464.2138671875,15.6,0.0
ChaCha20,audio_010.mp3,464.2138671875,,
AES,audio_011.mp3,513.193359375,,
3DES,audio_011.mp3,513.193359375,0.0,0.0
ChaCha20,audio_011.mp3,513.193359375,,
AES,audio_012.mp3,561.560546875,,
3DES,audio_012.mp3,561.560546875,0.0,0.0
ChaCha20,audio_012.mp3,561.560546875,,
AES,audio_013.mp3,610.541015625,,
3DES,audio_013.mp3,610.541015625,0.0,0.0
ChaCha20,audio_013.mp3,610.541015625,,
AES,audio_014.mp3,659.5205078125,,
3DES,audio_014.mp3,659.5205078125,0.0,0.0
ChaCha20,audio_014.mp3,659.5205078125,,
AES,audio_015.mp3,707.8876953125,,
3DES,audio_015.mp3,707.8876953125,0.0,0.0
ChaCha20,audio_015.mp3,707.8876953125,,
AES,audio_016.mp3,756.8671875,,
3DES,audio_016.mp3,756.8671875,0.0,0.0
ChaCha20,audio_016.mp3,756.8671875,,
AES,audio_017.mp3,805.234375,,
3DES,audio_017.mp3,805.234375,0.0,0.0
ChaCha20,audio_017.mp3,805.234375,,
AES,audio_018.mp3,854.2138671875,,
3DES,audio_018.mp3,854.2138671875,0.0,0.0
ChaCha20,audio_018.mp3,854.2138671875,,
AES,audio_019.mp3,902.5810546875,,
3DES,audio_019.mp3,902.5810546875,0.0,0.0
ChaCha20,audio_019.mp3,902.5810546875,,
AES,audio_020.mp3,951.560546875,,
3DES,audio_020.mp3,951.560546875,0.0,0.0
ChaCha20,audio_020.mp3,951.560546875,,
AES,audio_021.mp3,999.9287109375,,
3DES,audio_021.mp3,999.9287109375,0.0,0.0
ChaCha20,audio_021.mp3,999.9287109375,,
AES,audio_022.mp3,1048.908203125,,
3DES,audio_022.mp3,1048.908203125,0.0,0.0
ChaCha20,audio_022.mp3,1048.908203125,,
AES,audio_023.mp3,1097.8876953125,,
3DES,audio_023.mp3,1097.8876953125,15.6,0.0
ChaCha20,audio_023.mp3,1097.8876953125,,
AES,audio_024.mp3,1146.2548828125,,
3DES,audio_024.mp3,1146.2548828125,0.0,0.0
ChaCha20,audio_024.mp3,1146.2548828125,,
AES,audio_025.mp3,1195.234375,,
3DES,audio_025.mp3,1195.234375,0.0,0.0
ChaCha20,audio_025.mp3,1195.234375,,
AES,audio_026.mp3,1243.6015625,,
3DES,audio_026.mp3,1243.6015625,0.0,0.0
ChaCha20,audio_026.mp3,1243.6015625,,
AES,audio_027.mp3,1292.5810546875,,
3DES,audio_027.mp3,1292.5810546875,0.0,0.0
ChaCha20,audio_027.mp3,1292.5810546875,,
AES,audio_028.mp3,1340.94921875,,
3DES,audio_028.mp3,1340.94921875,0.0,0.0
ChaCha20,audio_028.mp3,1340.94921875,,
AES,audio_029.mp3,1389.9287109375,,
3DES,audio_029.mp3,1389.9287109375,0.0,0.0
ChaCha20,audio_029.mp3,1389.9287109375,,
AES,audio_030.mp3,1438.908203125,,
3DES,audio_030.mp3,1438.908203125,0.0,0.0
ChaCha20,audio_030.mp3,1438.908203125,,
AES,audio_031.mp3,1487.275390625,,
3DES,audio_031.mp3,1487.275390625,0.0,0.0
ChaCha20,audio_031.mp3,1487.275390625,,
AES,audio_032.mp3,1536.2548828125,,
3DES,audio_032.mp3,1536.2548828125,0.0,0.0
ChaCha20,audio_032.mp3,1536.2548828125,,
AES,audio_033.mp3,1584.6220703125,,
3DES,audio_033.mp3,1584.6220703125,0.0,0.0
ChaCha20,audio_033.mp3,1584.6220703125,,
AES,audio_034.mp3,1633.6015625,,
3DES,audio_034.mp3,1633.6015625,0.0,0.0
ChaCha20,audio_034.mp3,1633.6015625,,
AES,audio_035.mp3,1681.96875,,
3DES,audio_035.mp3,1681.96875,0.0,0.0
ChaCha20,audio_035.mp3,1681.96875,,
AES,audio_036.mp3,1730.94921875,,
3DES,audio_036.mp3,1730.94921875,0.0,0.0
ChaCha20,audio_036.mp3,1730.94921875,,
AES,audio_037.mp3,1779.31640625,,
3DES,audio_037.mp3,1779.31640625,0.0,0.0
ChaCha20,audio_037.mp3,1779.31640625,,
AES,audio_038.mp3,1828.2958984375,,
3DES,audio_038.mp3,1828.2958984375,0.0,0.0
ChaCha20,audio_038.mp3,1828.2958984375,,
AES,audio_039.mp3,1877.275390625,,
3DES,audio_039.mp3,1877.275390625,0.0,0.0
ChaCha20,audio_039.mp3,1877.275390625,,
AES,audio_040.mp3,1925.642578125,,
3DES,audio_040.mp3,1925.642578125,0.0,0.0
ChaCha20,audio_040.mp3,1925.642578125,,
AES,audio_041.mp3,1974.6220703125,,
3DES,audio_041.mp3,1974.6220703125,0.0,0.0
